event_id,visitor_id,camera_id,event_type,timestamp
evt_1_1780484344,1,CAM3,ENTRY,2026-06-03 16:29:04.808902
evt_3_1780484352,3,CAM3,ENTRY,2026-06-03 16:29:12.309623
evt_4_1780484357,4,CAM3,ENTRY,2026-06-03 16:29:17.886818
evt_5_1780484363,5,CAM3,ENTRY,2026-06-03 16:29:23.163226
evt_8_1780484388,8,CAM3,ENTRY,2026-06-03 16:29:48.136745
evt_9_1780484468,9,CAM3,ENTRY,2026-06-03 16:31:08.502775
evt_10_1780484491,10,CAM3,ENTRY,2026-06-03 16:31:31.104685
evt_11_1780484506,11,CAM3,ENTRY,2026-06-03 16:31:46.726408
evt_12_1780484533,12,CAM3,ENTRY,2026-06-03 16:32:13.367820
evt_14_1780484553,14,CAM3,ENTRY,2026-06-03 16:32:33.391049
evt_19_1780484630,19,CAM3,ENTRY,2026-06-03 16:33:50.042083
evt_20_1780484643,20,CAM3,ENTRY,2026-06-03 16:34:03.659735
evt_21_1780484661,21,CAM3,ENTRY,2026-06-03 16:34:21.587474
evt_23_1780484662,23,CAM3,ENTRY,2026-06-03 16:34:22.259432
evt_25_1780484664,25,CAM3,ENTRY,2026-06-03 16:34:24.920027
string,0,string,string,2026-06-03 11:05:10.319000+00:00
evt_27_1780484782,27,CAM3,ENTRY,2026-06-03 16:36:22.402788
evt_28_1780484784,28,CAM3,ENTRY,2026-06-03 16:36:24.344945
evt_29_1780484871,29,CAM3,ENTRY,2026-06-03 16:37:51.016125
evt_30_1780484942,30,CAM3,ENTRY,2026-06-03 16:39:02.145855
evt_31_1780484985,31,CAM3,ENTRY,2026-06-03 16:39:45.572398
evt_32_1780484998,32,CAM3,ENTRY,2026-06-03 16:39:58.331275
evt_33_1780485013,33,CAM3,ENTRY,2026-06-03 16:40:13.983649
evt_37_1780485083,37,CAM3,ENTRY,2026-06-03 16:41:23.990055
evt_38_1780485103,38,CAM3,ENTRY,2026-06-03 16:41:43.887903
evt_40_1780485198,40,CAM3,ENTRY,2026-06-03 16:43:18.457629
evt_42_1780485288,42,CAM3,ENTRY,2026-06-03 16:44:48.310971
evt_44_1780485301,44,CAM3,ENTRY,2026-06-03 16:45:01.112845
evt_45_1780485321,45,CAM3,ENTRY,2026-06-03 16:45:21.325311
evt_47_1780485361,47,CAM3,ENTRY,2026-06-03 16:46:01.643436
evt_48_1780485364,48,CAM3,ENTRY,2026-06-03 16:46:04.717103
evt_52_1780485588,52,CAM3,ENTRY,2026-06-03 16:49:48.951254
evt_54_1780485641,54,CAM3,ENTRY,2026-06-03 16:50:41.545079
evt_55_1780485642,55,CAM3,ENTRY,2026-06-03 16:50:42.845341
evt_56_1780485662,56,CAM3,ENTRY,2026-06-03 16:51:02.481363
evt_57_1780485667,57,CAM3,ENTRY,2026-06-03 16:51:07.262583
evt_58_1780485700,58,CAM3,ENTRY,2026-06-03 16:51:40.421514
evt_59_1780485704,59,CAM3,ENTRY,2026-06-03 16:51:44.250493
evt_61_1780485715,61,CAM3,ENTRY,2026-06-03 16:51:55.642970
evt_62_1780485729,62,CAM3,ENTRY,2026-06-03 16:52:09.894553
evt_1_1780586981,1,CAM3,BILLING,2026-06-04 20:59:41.266840
evt_2_1780587021,2,CAM3,BILLING,2026-06-04 21:00:21.505708
evt_3_1780587047,3,CAM3,BILLING,2026-06-04 21:00:47.068087
evt_4_1780587079,4,CAM3,BILLING,2026-06-04 21:01:19.336129
evt_5_1780587107,5,CAM3,BILLING,2026-06-04 21:01:47.268343
evt_7_1780587312,7,CAM3,BILLING,2026-06-04 21:05:12.002460
evt_8_1780587349,8,CAM3,BILLING,2026-06-04 21:05:49.837262
evt_9_1780587391,9,CAM3,BILLING,2026-06-04 21:06:31.302295
evt_11_1780587393,11,CAM3,BILLING,2026-06-04 21:06:33.686761
evt_12_1780587400,12,CAM3,BILLING,2026-06-04 21:06:40.701675
evt_13_1780587416,13,CAM3,BILLING,2026-06-04 21:06:56.502543
evt_14_1780587434,14,CAM3,BILLING,2026-06-04 21:07:14.506009
evt_15_1780587476,15,CAM3,BILLING,2026-06-04 21:07:56.011166
evt_16_1780587506,16,CAM3,BILLING,2026-06-04 21:08:26.778298
evt_19_1780587525,19,CAM3,BILLING,2026-06-04 21:08:45.196770
evt_20_1780587539,20,CAM3,BILLING,2026-06-04 21:08:59.615390
evt_21_1780587542,21,CAM3,BILLING,2026-06-04 21:09:02.750358
evt_22_1780587577,22,CAM3,BILLING,2026-06-04 21:09:37.729362
evt_25_1780587606,25,CAM3,BILLING,2026-06-04 21:10:06.307790
evt_27_1780587701,27,CAM3,BILLING,2026-06-04 21:11:41.557654
evt_29_1780587731,29,CAM3,BILLING,2026-06-04 21:12:11.697087
evt_30_1780587740,30,CAM3,BILLING,2026-06-04 21:12:20.524445
evt_31_1780587847,31,CAM3,BILLING,2026-06-04 21:14:07.083262
evt_32_1780587932,32,CAM3,BILLING,2026-06-04 21:15:32.586202
string,0,string,string,2026-06-04 16:13:06.204000+00:00
string,0,string,string,2026-06-04 16:42:21.298000+00:00
